Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 3371| Score: 0.5493 | Improved by Teacher| A little girl laying on her side on a wooden bench.
Image 3372| Score: 0.9282 | Kept from Student| Two trains on separate tracks travel through a city
Image 3373| Score: -1.8573 | Improved by Teacher| two young people are playing a game on the wii
Image 3374| Score: -0.7611 | Improved by Teacher| Sepia photograph of cows grazing in field next to a fence.
Image 3375| Score: -0.0299 | Improved by Teacher| A young man with neon shoe laces riding a skateboard
Image 3376| Score: 0.7043 | Kept from Student| Group of people sitting in auditorium with a screen.
Image 3377| Score: 1.4088 | Kept from Student| A wedding cake with flowers in a banquet hall.
Image 3378| Score: 1.2439 | Kept from Student| a horse rider on a brown horse jumping a hurdle 
Image 3379| Score: 0.7271 | Kept from Student| A man with a racket stands behind a tennis net.
Image 3380| Score: -0.1070 | Improved by Teacher| A clock has four faces on each side of an information booth.
Image 3381| Score: 1.4142 | Kept from Student| The older woman with the glasses is sewing the material. 
Image 3382| Score: 1.6187 | Kept from Student| a polar bear lays down on some snow 
Image 3383| Score: 0.2881 | Improved by Teacher| some boats sitting in a line close to a dock 
Image 3384| Score: 0.8325 | Kept from Student| Several small toys are setup in the model of a zoo.
Image 3385| Score: 0.1278 | Improved by Teacher| a hand resting on a parking meter and a black car
Image 3386| Score: 0.1538 | Improved by Teacher| A man waits in an airport terminal as planes take-off.
Image 3387| Score: -0.7174 | Improved by Teacher| A small dog sitting inside a red duffle bag next to a frisbee.
Image 3388| Score: -0.0525 | Improved by Teacher| A table topped with three mugs of beer and two pizza's.
Image 3389| Score: 1.6726 | Kept from Student| A bearded man on a skateboard shows his bare stomach.
Image 3390| Score: 1.1298 | Kept from Student| Smoke billows from the train travelling down the track.
Image 3391| Score: 1.9584 | Kept from Student| A girl with a pink dress holding a teddy bear. 
Image 3392| Score: -1.0727 | Improved by Teacher| A black dog sitting on top of a chair near a counter.
Image 3393| Score: 0.1945 | Improved by Teacher| A group of people are standing on the sandy beach.
Image 3394| Score: 1.0060 | Kept from Student| Two trains passing each other on seperate tacks.
Image 3395| Score: -0.0609 | Improved by Teacher| A black and white perspective on of a street sign and a traffic light and a group of people on a street corner talking.
Image 3396| Score: 1.4149 | Kept from Student| there is a woman riding a skateboard in front of a car
Image 3397| Score: 0.0324 | Improved by Teacher| A woman is on railroad tracks with an umbrella.
Image 3398| Score: -0.8726 | Improved by Teacher| A couple of men playing a video game in an office setting.
Image 3399| Score: -0.4663 | Improved by Teacher| A woman walking across a court holding a tennis racket.
Image 3400| Score: -1.7726 | Improved by Teacher| Two women playing a game with a Nintendo Wii controller.
Image 3401| Score: 0.8392 | Kept from Student| A woman that is sitting on a bench with a book.
Image 3402| Score: 0.3075 | Improved by Teacher| PEOPLE WAITING FOR THE ARRIVAL OF THEIR LUGGAGE IN AN AIRPORT. 
Image 3403| Score: 0.5562 | Improved by Teacher| A skateboarder is skating down the road. 
Image 3404| Score: -0.3726 | Improved by Teacher| A baseball catcher holding a mitt walking on the field
Image 3405| Score: 0.4122 | Improved by Teacher| A small eating area with a table and cabinets next to a window.
Image 3406| Score: -0.0433 | Improved by Teacher| A man tossing a purple frisbee on a field.
Image 3407| Score: 1.8340 | Kept from Student| A laptop covered in a bunch of stickers
Image 3408| Score: 1.0201 | Kept from Student| A man and a baby looking at donuts with high enthusiasm.
Image 3409| Score: 1.8872 | Kept from Student| A man and a woman sitting in the grass with a briefcase full of tools.
Image 3410| Score: 0.5321 | Improved by Teacher| A tennis player is hitting the ball with his racquet.
Image 3411| Score: 0.7743 | Kept from Student| A white and black horse grazing in a grass field with trees in background.
Image 3412| Score: -0.5848 | Improved by Teacher| A person holds onto rope above water on a board.
Image 3413| Score: 0.5011 | Improved by Teacher| Two snowboarders ride the ski lift to the top of the mountain. 
Image 3414| Score: -0.2630 | Improved by Teacher| A kid biting into a doughnut in a room.
Image 3415| Score: 1.1558 | Kept from Student| A SQUARE PIZZA WITH EXTRA SAUCE ON TOP
Image 3416| Score: 1.6369 | Kept from Student| A man in a suit is looking down
Image 3417| Score: 0.4967 | Improved by Teacher| A man with a dog sitting in his backpack talking to a woman in sunglasses.
Image 3418| Score: 1.3945 | Kept from Student| A woman is smiling while holding a phone
Image 3419| Score: -0.0333 | Improved by Teacher| A young man sits on a bench in the snow
Image 3420| Score: 0.8473 | Kept from Student| A display in  a store filled with carrots, cauliflower and greens.
Image 3421| Score: -0.9692 | Improved by Teacher| A multicolored cat with it's eyes closed, laying on top of a microwave oven.
Image 3422| Score: 0.7825 | Kept from Student| a cat is way up in a tree
Image 3423| Score: 1.4094 | Kept from Student| A president in a nice suit walking near a building.
Image 3424| Score: 0.4323 | Improved by Teacher| Looking into a bathroom decorated in black and white tones.
Image 3425| Score: -1.2437 | Improved by Teacher| A large clock tower is surround by scaffolding.
Image 3426| Score: 0.4044 | Improved by Teacher| A herd of sheep standing on top of a green field.
Image 3427| Score: 1.3873 | Kept from Student| A person riding a ski lift over orange traffic cones.
Image 3428| Score: -0.2773 | Improved by Teacher| A sandwich and a salad are on a tray on a wooden table.
Image 3429| Score: -0.1445 | Improved by Teacher| A new kitchen doesn't have the countertops yet.
Image 3430| Score: 1.1794 | Kept from Student| A man and woman sit on benches with a small child.
Image 3431| Score: 0.2602 | Improved by Teacher| A jumbo jet airplane parked with a person checking it.
Image 3432| Score: 0.8905 | Kept from Student| A small yellow and brown bird standing in front of a mirror.
Image 3433| Score: 0.9713 | Kept from Student| Batter taking swing at ball at home plate during sanctioned game.
Image 3434| Score: -0.3991 | Improved by Teacher| A dog tied to a fire hydrant at night.
Image 3435| Score: 1.3073 | Kept from Student| An unusual looking red bus going down a road.
Image 3436| Score: 0.3311 | Improved by Teacher| a couple of people standing on top of a field.
Image 3437| Score: 0.2167 | Improved by Teacher| a white and red plane parked on a tarmac
Image 3438| Score: -0.6161 | Improved by Teacher| a pair of cats riding inside a car
Image 3439| Score: -0.1166 | Improved by Teacher| A bicycle is locked up to a post
Image 3440| Score: 0.8743 | Kept from Student| The window from a plane overlooking the ground.
Image 3441| Score: 0.3358 | Improved by Teacher| A sauce plan holding a stew of vegetables on a stovetop.
Image 3442| Score: 1.8883 | Kept from Student| A man in a suit is walking on a cobblestone street.
Image 3443| Score: 1.1006 | Kept from Student| A woman is pointing and holding a hair dryer.
Image 3444| Score: 1.1736 | Kept from Student| a man that has a micro phone in his hand
Image 3445| Score: 1.1445 | Kept from Student| A bright blue stove looks like an antique
Image 3446| Score: 1.2376 | Kept from Student| Several boats parked at a dock with mountains in the background.
Image 3447| Score: 0.2001 | Improved by Teacher| A tall building with set  of two entrances.
Image 3448| Score: 0.0280 | Improved by Teacher| a man playing tennis on a tennis court
Image 3449| Score: 0.7086 | Kept from Student| Two giraffes standing very close to each other .
Image 3450| Score: 0.1960 | Improved by Teacher| Bread that is sitting on a plate that is on a table.
Image 3451| Score: 0.8246 | Kept from Student| A man hitting a tennis ball with a racquet.
Image 3452| Score: -0.1527 | Improved by Teacher| A baseball player is in the outfield of a baseball field.
Image 3453| Score: -0.6391 | Improved by Teacher| Partially consumed slices of cake at a restaurant table.
Image 3454| Score: 0.2896 | Improved by Teacher| Large clock was statues on the side of the building. 
Image 3455| Score: 1.5317 | Kept from Student| A bathroom with a sink and two burgundy towels on the door. 
Image 3456| Score: -0.1402 | Improved by Teacher| A swarm of people are getting together and doing something.
Image 3457| Score: -0.0027 | Improved by Teacher| A cow with black spots all over eating grass.
Image 3458| Score: 1.1347 | Kept from Student| A myriad of vegetables on an outdoor grill.
Image 3459| Score: 1.6416 | Kept from Student| A man watching a plane in the air. 
Image 3460| Score: 1.0010 | Kept from Student| a steak dinner with a side of greenbeans and what looks to be an egg?
Image 3461| Score: 1.3710 | Kept from Student| A loaded truck on the road near a residential area.
Image 3462| Score: 0.2120 | Improved by Teacher| A Continental Airlines plane flying through the sky.
Image 3463| Score: 0.0679 | Improved by Teacher| A cheese pizza with shreds of a topping on it.
Image 3464| Score: 1.6520 | Kept from Student| A man kneels petting two large adult dogs.
Image 3465| Score: -1.5343 | Improved by Teacher| A photograph of a girl running above and a photograph of a bench below.
Image 3466| Score: 1.4911 | Kept from Student| A blue eyes dog look dubious as his owner smiles behind him.
Image 3467| Score: 0.5291 | Improved by Teacher| A person cutting up an ice cream cake sitting in the box on a table.
Image 3468| Score: -0.6406 | Improved by Teacher| A boy riding on his skateboard at a skate patk whike other guys watch.
Image 3469| Score: 0.3548 | Improved by Teacher| A platter of fruit cake on a decorated table.
Image 3470| Score: 1.0379 | Kept from Student| A pair of red and white benches on a stone floor.
Image 3471| Score: 0.9271 | Kept from Student| Children are shown playing a soccer game on a sunny day.
Image 3472| Score: 0.5876 | Improved by Teacher| Riding a horse through a field at dusk.
Image 3473| Score: -1.4054 | Improved by Teacher| Someone who is holding a cell phone recording a women.
Image 3474| Score: 1.2896 | Kept from Student| A view from a plane window near a large snowy peak.
Image 3475| Score: 0.2030 | Improved by Teacher| A person is doing a high jump on some skis.
Image 3476| Score: 0.1067 | Improved by Teacher| a small little toilet that is in a corner
Image 3477| Score: -1.9528 | Improved by Teacher| A zodiac for the coast gaurs about to launch into water
Image 3478| Score: -0.0884 | Improved by Teacher| A fish meal has sides of broccoli and tomato.
Image 3479| Score: 0.9795 | Kept from Student| The kids are playing a game and the area is taped off. 
Image 3480| Score: -0.5138 | Improved by Teacher| a guy failing badly with a skateboard trick in a parking lot   
Image 3481| Score: 0.6767 | Kept from Student| A view of a sink with soap next to it.
Image 3482| Score: -0.4799 | Improved by Teacher| A bathroom with a white toilet and white tub.
Image 3483| Score: -1.0632 | Improved by Teacher| A plane is parked near the pretty blue ocean. 
Image 3484| Score: 1.6434 | Kept from Student| A child bites into a sandwich with gusto.
Image 3485| Score: -0.9062 | Improved by Teacher| A person holding a yellow, black spotted banana. 
Image 3486| Score: -1.4761 | Improved by Teacher| Two zebras in zoo habitat, one standing the other lying down. 
Image 3487| Score: 1.6345 | Kept from Student| A woman holds a pink umbrella in front of her that is covered in German words. 
Image 3488| Score: -1.2244 | Improved by Teacher| A couple of planes on  the runway of an airport.
Image 3489| Score: -0.0728 | Improved by Teacher| A clean and naturally lit bathroom with a walk-in shower.
